16;639;0;50755;83.3;6938;46.1;1.27
14.4;3037;21400;16636;83.4;6353;47;1.51
11.7;631;20100;7155;83.6;240;44.3;1.54
15.2;626;17700;3658;83.2;0;45.5;2
21.1;279;18000;23306;82.9;345;45.7;0.58
19;8397;0;61673;84.7;59747;43.1;1.84
19;8397;23700;61673;84.7;59747;43.1;1.84
26;258;0;67008;83.1;242;46.4;1.95
16.7;256;15800;36888;83.5;242;49.2;2.1
30.7;258;13800;19307;83;0;43.8;2.12
37.7;260;12000;10813;82.1;0;45.6;1.28
21.4;2299;0;411646;82.6;118379;43.7;1.06
18.8;2381;20300;163872;82.9;54693;43.5;1.22
27;2162;14800;72404;82.1;23401;44.4;0.97
15.1;2412;18600;175370;82.8;40285;42;0.46
36.9;1031;0;158905;81.4;30864;42.5;0.69
37.7;974;12600;146971;81.3;30414;42.9;0.71
31.9;1324;13700;11094;82.2;22;41.3;0.64
45.9;42229;14000;399;80.7;0;37.7;1.36
38.5;60415;13000;441;80.2;428;34.4;1.15
35;2994;0;113208;82;40035;43.7;0.23
35;2994;14100;113208;82;40035;43.7;0.23
11.5;1847;24000;18116;81.6;22049;39.8;0.28
16.3;366;18000;9134;80.7;455;46.4;0.11
19.3;63;16800;20400;80.3;3018;45;0.07
17.1;4475;0;24971;76.8;0;;1.94
15.6;34338;16700;21235;77.6;16100;;1.96
19.1;2051;13000;3736;75.6;0;;1.92
17.8;822;0;31221;75.4;0;;1.94
13.5;991;12800;8400;75.1;0;;1.96
16.3;886;12100;13954;76;0;;1.98
24.6;637;10300;8867;75.2;0;;1.86
21.1;779;0;18815;74.7;0;;1.71
23.9;844;9700;6724;73.9;0;;1.73
24.2;831;10200;7008;74.7;601;;1.68
14.9;681;11800;5083;75.4;0;;1.71
16.4;2822;0;185804;82.8;0;48;0.94
16.7;1723;21800;39763;82.2;3997;49.1;2
8.1;386;21000;10818;81.5;0;48.5;3.21
17.6;2843;20700;33376;82.2;1539;51.4;2.14
16.2;4358;25400;101847;83.2;49096;47;0.27
41.6;1885;0;187826;82.1;0;45.5;0.68
25;1205;15700;24794;82.8;699;48;1.11
38.1;682;13900;2997;82.5;0;48.7;0.86
49.7;4222;12600;58326;81.1;10834;43.9;0.64
37.4;2068;13100;46401;82.9;8294;46.3;0.77
34.7;557;13400;8546;82.4;0;47.6;0.58
39.8;1265;11400;46762;82.4;3536;45.9;0.3
43.6;1326;0;101149;82;0;46.4;0.66
48.7;1921;12100;54727;81.6;18182;45.5;0.68
28.1;683;13900;46422;82.9;9097;48.9;0.59
13.2;1923;0;399659;83.1;0;47.8;1.91
11.1;2820;21600;112193;83.2;18404;47.7;1.78
13.8;1599;21200;20462;82.7;780;49.7;1.91
15.5;2019;24000;146367;83.1;9905;47.9;2.08
21.4;2075;0;218320;83.1;0;47.9;0.97
18.7;1627;20500;86647;83.2;8233;48.9;1.12
13.3;1055;18100;14060;83.6;218;48.8;0.86
19.1;1619;18900;28122;83.5;482;48.4;1.25
24.8;3430;20600;89491;82.9;49250;46.9;0.83
